matrix,dimension,steps,finite_difference_step,reference_gradient_norm,direct_replay_error,forward_only_error,forward_over_direct_error,direct_hamiltonian_matvecs,direct_derivative_matvecs
Si2,769.0,6.0,2e-06,0.01650333308288269,3.716842706245027e-11,0.0037454594970607728,100769922.02999777,42.0,18.0
Si2,769.0,8.0,2e-06,0.013724240092878714,2.9285105457350185e-11,0.0018368147598561248,62721807.93513612,56.0,24.0
Si2,769.0,10.0,2e-06,0.013711818764515686,6.127707024610736e-11,0.00023811976798388895,3885952.233478649,70.0,30.0
Si2,769.0,12.0,2e-06,0.013711775336848812,2.999107858039763e-11,3.778720332678944e-05,1259948.1284240112,84.0,36.0
Si2,769.0,14.0,2e-06,0.013711775207805943,4.580696761146609e-11,3.360055252968397e-06,73352.49260480038,98.0,42.0
Si2,769.0,16.0,2e-06,0.013711775243405644,2.5265950414805007e-11,1.73210420665975e-07,6855.488031215302,112.0,48.0
SiH4,5041.0,6.0,2e-06,0.0036766299322721317,3.1973100828639404e-11,0.0009065995096398783,28355069.92264591,42.0,18.0
SiH4,5041.0,8.0,2e-06,0.0016242047138283434,1.592713355399024e-11,0.00018877767864807946,11852583.392244162,56.0,24.0
SiH4,5041.0,10.0,2e-06,0.0016086946887267836,1.579250658355743e-11,2.2347246068971502e-05,1415053.7757089569,70.0,30.0
SiH4,5041.0,12.0,2e-06,0.0016086473955259212,2.164655377955388e-11,1.8972552195739263e-06,87646.98708604448,84.0,36.0
SiH4,5041.0,14.0,2e-06,0.0016086473232903532,2.4576829334474438e-11,4.456957475041951e-08,1813.4794421142365,98.0,42.0
SiH4,5041.0,16.0,2e-06,0.0016086473205344867,2.12466634094304e-11,3.3557823656577387e-09,157.9439698832083,112.0,48.0
benzene,8219.0,6.0,2e-06,0.0014517313144824884,4.104814129156525e-11,0.00040610736826950366,9893441.103335716,42.0,18.0
benzene,8219.0,8.0,2e-06,0.0002768625362770943,1.1675852835093746e-11,3.858615322438229e-05,3304782.423122455,56.0,24.0
benzene,8219.0,10.0,2e-06,0.00028119837526946364,1.3277706681031727e-11,6.862613650969651e-06,516852.3311916091,70.0,30.0
benzene,8219.0,12.0,2e-06,0.0002812100991260258,1.2986329185745003e-11,1.3213129656571422e-06,101746.45558096106,84.0,36.0
benzene,8219.0,14.0,2e-06,0.0002812101130800461,7.286449682666859e-12,3.710384667430985e-08,5092.1708500332015,98.0,42.0
benzene,8219.0,16.0,2e-06,0.00028121011480473874,1.079683005370339e-11,2.0717193563401406e-09,191.88218634871686,112.0,48.0
Si5H12,19896.0,6.0,2e-06,0.0001071831379011354,4.209048619255111e-11,0.0001869733779296067,4442176.720750162,42.0,18.0
Si5H12,19896.0,8.0,2e-06,0.00011444317589313452,8.931640896225406e-11,0.00017009875216801324,1904451.3112915067,56.0,24.0
Si5H12,19896.0,10.0,2e-06,0.00010925113924659964,9.922509933346032e-11,1.3954005307557063e-05,140629.79428886843,70.0,30.0
Si5H12,19896.0,12.0,2e-06,0.00010923317809113597,9.756487935338673e-11,1.959812369666601e-06,20087.273029550164,84.0,36.0
Si5H12,19896.0,14.0,2e-06,0.00010923315958919219,9.51725425241394e-11,1.6195162510248613e-07,1701.663324392211,98.0,42.0
Si5H12,19896.0,16.0,2e-06,0.00010923315340589098,1.0302864395634784e-10,5.30037840599907e-09,51.44567765295236,112.0,48.0
